k_array Pk[0,:]
1.592159829975155205e-02 6.044322613986795477e+04
1.609138141895530977e-02 6.029824023312653298e+04
1.626297505410248187e-02 6.014560344881640776e+04
1.643639851198871321e-02 5.998533493580203503e+04
1.661167130529144290e-02 5.981745735840894486e+04
1.678881315476543623e-02 5.964199919435547054e+04
1.696784399146162789e-02 5.945899439943756443e+04
1.714878395896965099e-02 5.926848047068106098e+04
1.733165341568435394e-02 5.907050500344880857e+04
1.751647293709630154e-02 5.886512741898040986e+04
1.770326331810690920e-02 5.865241076737334515e+04
1.789204557536814080e-02 5.843242491752560454e+04
1.808284094964717620e-02 5.820524973401276657e+04
1.827567090821637791e-02 5.797096860490894323e+04
1.847055714726857090e-02 5.772967082996500540e+04
1.866752159435825301e-02 5.748145721716852131e+04
1.886658641086873603e-02 5.722643246673561225e+04
1.906777399450562682e-02 5.696470707944705646e+04
1.927110698181695725e-02 5.669640862600994296e+04
1.947660825074002192e-02 5.642167037448362680e+04
1.968430092317554822e-02 5.614062899603084225e+04
1.989420836758923686e-02 5.585343450700101675e+04
2.010635420164103709e-02 5.556024278091172891e+04
2.032076229484255231e-02 5.526121205411216943e+04
2.053745677124259664e-02 5.495651672477416287e+04
2.075646201214158271e-02 5.464634061711439426e+04
2.097780265883474396e-02 5.433086820087504748e+04
2.120150361538463216e-02 5.401029479696359340e+04
2.142759005142327866e-02 5.368482468735161092e+04
2.165608740498399867e-02 5.335466183360390278e+04
2.188702138536364680e-02 5.302002307191913133e+04
2.212041797601525112e-02 5.268114121680311655e+04
2.235630343747153220e-02 5.233824798285200814e+04
2.259470431029966114e-02 5.199157964142891433e+04
2.283564741808735005e-02 5.164138257718880050e+04
2.307915987046096906e-02 5.128790126965999661e+04
2.332526906613576964e-02 5.093138810823483800e+04
2.357400269599860265e-02 5.057212278656407580e+04
2.382538874622365521e-02 5.021038533762432053e+04
2.407945550142116115e-02 4.984644698320641328e+04
2.433623154781992121e-02 4.948055880613430782e+04
2.459574577648365040e-02 4.911296306714011735e+04
2.485802738656163469e-02 4.874391684837848152e+04
